id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
512227,79,SavedShot,0.96,0.544000015258789,0.08807480335235596,Gabriel,h,5613,FromCorner,2022,Head,18452,Arsenal,Bournemouth,3,2,2023-03-04 15:00:00,William Saliba,None
514096,20,Goal,0.965,0.5059999847412109,0.13875499367713928,Gabriel,a,5613,FromCorner,2022,Head,18465,Fulham,Arsenal,0,3,2023-03-12 14:00:00,Leandro Trossard,Cross
516427,61,BlockedShot,0.9630000305175781,0.51,0.09370850026607513,Gabriel,h,5613,FromCorner,2022,Head,18482,Arsenal,Leeds,4,1,2023-04-01 14:00:00,Leandro Trossard,Aerial
518775,84,SavedShot,0.9330000305175781,0.5359999847412109,0.05581270158290863,Gabriel,a,5613,FromCorner,2022,Head,18497,Liverpool,Arsenal,2,2,2023-04-09 15:30:00,Bukayo Saka,Aerial
523844,50,BlockedShot,0.9690000152587891,0.49900001525878906,0.11144575476646423,Gabriel,h,5613,FromCorner,2022,Head,18532,Arsenal,Chelsea,3,1,2023-05-02 19:00:00,Leandro Trossard,Aerial
526734,46,MissedShots,0.9680000305175781,0.59,0.02634112909436226,Gabriel,h,5613,FromCorner,2022,Head,18552,Arsenal,Brighton,0,3,2023-05-14 15:30:00,Leandro Trossard,Aerial
526745,83,MissedShots,0.894000015258789,0.5979999923706054,0.3459528386592865,Gabriel,h,5613,FromCorner,2022,RightFoot,18552,Arsenal,Brighton,0,3,2023-05-14 15:30:00,Thomas Partey,Pass
539656,91,BlockedShot,0.950999984741211,0.42200000762939455,0.0405459925532341,Gabriel,h,5613,FromCorner,2023,Head,21952,Arsenal,Tottenham,2,2,2023-09-24 13:00:00,Reiss Nelson,Aerial
544214,53,MissedShots,0.9459999847412109,0.42700000762939455,0.09352501481771469,Gabriel,a,5613,FromCorner,2023,Head,21978,Chelsea,Arsenal,2,2,2023-10-21 16:30:00,Gabriel Martinelli,Cross
544220,65,BlockedShot,0.9580000305175781,0.6029999923706054,0.049734704196453094,Gabriel,a,5613,FromCorner,2023,Head,21978,Chelsea,Arsenal,2,2,2023-10-21 16:30:00,Bukayo Saka,Cross
